City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Mar Del Plata,AR,71.1,few clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
2,Alto Araguaia,BR,67.95,overcast clouds,-17.3147,-53.2153,Araguaia Palace Hotel
3,Inirida,CO,70.2,scattered clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
4,Pithora,IN,74.07,clear sky,21.2667,82.5167,"Government Scheduled Caste Boys Hostel, Pithora"
5,Port Elizabeth,ZA,70.11,few clouds,-33.918,25.5701,39 On Nile Guest House
6,Nicoya,CR,78.35,clear sky,10.1483,-85.452,Las Cabinas Del Sueño
7,Itarema,BR,75.09,light rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
9,Cayenne,GF,78.1,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
11,Bakel,SN,75.45,scattered clouds,14.905,-12.4568,Ablaye Diallo Bakel
14,Bredasdorp,ZA,70.29,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
18,Mugumu,TZ,67.44,overcast clouds,-1.85,34.7,Lemala Mara
19,Dharchula,IN,62.85,clear sky,29.85,80.5333,Mahara Hotel
20,Phalaborwa,ZA,71.76,overcast clouds,-23.943,31.1411,Bothabelo Bed and Breakfast
22,Somerset East,ZA,71.76,clear sky,-32.7217,25.588,Mbali Lodge
23,Khanpur,PK,69.94,clear sky,28.6453,70.6567,Ahmad bartan store
24,Cape Town,ZA,72.1,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
28,Hermanus,ZA,70.81,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
29,Natal,BR,75.85,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
30,Arraial Do Cabo,BR,73.65,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
31,Chuy,UY,63.16,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
32,Port Alfred,ZA,74.61,clear sky,-33.5906,26.891,The Halyards Hotel
33,East London,ZA,74.86,clear sky,-33.0153,27.9116,Tu Casa
36,Balsas,BR,68.31,broken clouds,-7.5325,-46.0356,Novo Hotel
38,Mirwah,YE,65.39,scattered clouds,13.9228,43.9176,عاصم المليكي
45,Saldanha,ZA,66.94,clear sky,-33.0117,17.9442,Blue Bay Lodge
46,Xuddur,SO,75.45,few clouds,4.1213,43.8894,Banjanay Hotel
